Sequence ID,Model ID,Region of assignment,E-value of assignment,Superfamily ID,Superfamily description
,,,,,
gi|49474877|ref|YP_032918.1|,48596,2-397,1.44E-99,102114,Radical SAM enzymes
gi|49474878|ref|YP_032919.1|,39945,5-212,1.49E-58,52972,ITPase-like
gi|49474879|ref|YP_032920.1|,43759,83-355,2.55E-53,55781,GAF domain-like
gi|49474879|ref|YP_032920.1|,43758,13-92,1.88E-19,46785,Winged helix DNA-binding domain
gi|49474880|ref|YP_032921.1|,53405,53-151,1.83E-26,58014,Coiled-coil domain of nucleotide exchange factor GrpE
gi|49474880|ref|YP_032921.1|,36470,152-208,1.70E-19,51064,Head domain of nucleotide exchange factor GrpE
gi|49474881|ref|YP_032922.1|,39208,2-178,1.60E-40,55144,LigT-like
gi|49474882|ref|YP_032923.1|,53228,Jan-75,4.84E-21,55594,HPr-like
gi|49474883|ref|YP_032924.1|,54827,1-129,7.72E-37,53062,PTS system fructose IIA component-like
gi|49474884|ref|YP_032925.1|,47844,6-142,1.25E-19,53795,PEP carboxykinase-like
gi|49474885|ref|YP_032926.1|,39624,413-592,9.17E-35,55874,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
gi|49474885|ref|YP_032926.1|,52096,341-422,8.63E-17,47384,Homodimeric domain of signal transducing histidine kinase
gi|49474886|ref|YP_032927.1|,43525,10-188,3.42E-39,52172,CheY-like
gi|49474887|ref|YP_032928.1|,36696,94-146,0.000000732,54106,LysM domain
gi|49474888|ref|YP_032929.1|,50883,33-173,1.19E-45,110087,DR1885-like metal-binding protein
gi|49474889|ref|YP_032930.1|,46348,186-377,1.17E-69,53067,Actin-like ATPase domain
gi|49474889|ref|YP_032930.1|,46347,4-184,5.40E-68,53067,Actin-like ATPase domain
gi|49474889|ref|YP_032930.1|,36037,379-535,7.59E-64,100920,"Heat shock protein 70kD (HSP70), peptide-binding domain"
gi|49474889|ref|YP_032930.1|,49750,502-601,1.83E-21,100934,"Heat shock protein 70kD (HSP70), C-terminal subdomain"
gi|49474890|ref|YP_032931.1|,46983,3-107,9.55E-33,46565,Chaperone J-domain
gi|49474890|ref|YP_032931.1|,35834,259-347,2.35E-25,49493,HSP40/DnaJ peptide-binding domain
gi|49474890|ref|YP_032931.1|,37245,135-212,1.10E-21,57938,DnaJ/Hsp40 cysteine-rich domain
gi|49474890|ref|YP_032931.1|,35833,"120-153,214-258",1.31E-19,49493,HSP40/DnaJ peptide-binding domain
gi|49474891|ref|YP_032932.1|,52050,14-300,1.96E-90,53633,Carbamate kinase-like
gi|49474892|ref|YP_032933.1|,43518,194-294,6.15E-13,103481,Multidrug resistance efflux transporter EmrE
gi|49474892|ref|YP_032933.1|,43518,52-151,3.01E-10,103481,Multidrug resistance efflux transporter EmrE
gi|49474893|ref|YP_032934.1|,41170,3-235,7.55E-55,52540,P-loop containing nucleoside triphosphate hydrolases
gi|49474893|ref|YP_032934.1|,50451,404-498,4.41E-24,54980,EF-G C-terminal domain-like
gi|49474893|ref|YP_032934.1|,46824,296-375,6.83E-19,54980,EF-G C-terminal domain-like
gi|49474894|ref|YP_032935.1|,49600,6-265,3.47E-65,51161,Trimeric LpxA-like enzymes
gi|49474895|ref|YP_032936.1|,50465,49-280,4.12E-50,102405,MCP/YpsA-like
gi|49474896|ref|YP_032937.1|,36450,1-247,3.16E-83,55120,Pseudouridine synthase
gi|49474897|ref|YP_032938.1|,51998,3-209,8.24E-64,53328,Formyltransferase
gi|49474897|ref|YP_032938.1|,37670,207-307,7.06E-25,50486,FMT C-terminal domain-like
gi|49474898|ref|YP_032939.1|,40557,1-164,2.88E-63,56420,Peptide deformylase
gi|49474900|ref|YP_032941.1|,45677,7-173,4.11E-22,53955,Lysozyme-like
gi|49474902|ref|YP_032943.1|,43616,34-136,1.81E-16,49764,HSP20-like chaperones
gi|49474903|ref|YP_032944.1|,41094,22-231,1.29E-69,48150,DNA-glycosylase
gi|49474904|ref|YP_032945.1|,54769,Feb-60,4.58E-20,143034,L35p-like
gi|49474905|ref|YP_032946.1|,54785,3-117,5.62E-46,74731,Ribosomal protein L20
